Nom^Equip^Posicio^Heigth^Weigth^Edat
Adam Donachie^BAL^Base^198.81^77.56^23
Paul Bako^BAL^Base^198.81^92.65^35
Ramon Hernandez^BAL^Base^193.42^90.49^31
Kevin Millar^BAL^Pivot^193.42^90.49^35
Chris Gomez^BAL^Pivot^196.11^81.01^36
Brian Roberts^BAL^Aler^185.37^75.84^29
Miguel Tejada^BAL^Ala-pivot^185.37^90.06^31
Melvin Mora^BAL^Aler^190.75^86.18^35
Aubrey Huff^BAL^Aler^204.17^99.54^30
Adam Stern^BAL^Escorta^190.75^77.56^27
Jeff Fiorentino^BAL^Escorta^196.11^81.01^24
Freddie Bynum^BAL^Escorta^196.11^77.56^27
Nick Markakis^BAL^Escorta^198.81^79.72^23
Brandon Fahey^BAL^Escorta^198.81^68.95^26
Corey Patterson^BAL^Escorta^185.37^77.56^28
Jay Payton^BAL^Escorta^188.06^79.72^34
Jay Gibbons^BAL^Aler^193.42^84.89^30
Erik Bedard^BAL^Base^196.11^81.44^28
Hayden Penn^BAL^Base^201.5^79.72^22
Adam Loewen^BAL^Base^209.55^94.37^23
Daniel Cabrera^BAL^Base^212.24^99.11^26
Steve Trachsel^BAL^Base^204.17^88.34^36
Jaret Wright^BAL^Base^198.81^99.11^31
Kris Benson^BAL^Base^204.17^84.03^32
Scott Williamson^BAL^Pivot^193.42^77.56^31
John Parrish^BAL^Pivot^190.75^82.74^29
Danys Baez^BAL^Pivot^201.5^96.96^29
Chad Bradford^BAL^Pivot^206.86^87.48^32
Jamie Walker^BAL^Pivot^198.81^84.03^36
Brian Burres^BAL^Pivot^196.11^78.43^26
Kurt Birkins^BAL^Pivot^198.81^81.01^27
James Hoey^BAL^Pivot^209.55^86.18^24
Sendy Rleal^BAL^Pivot^196.11^77.56^27
Chris Ray^BAL^Pivot^201.5^86.18^25
Jeremy Guthrie^BAL^Pivot^196.11^86.18^28
A.J. Pierzynski^CWS^Base^201.5^105.57^30
Toby Hall^CWS^Base^201.5^103.42^31
Paul Konerko^CWS^Pivot^198.81^92.65^31
Tadahito Iguchi^CWS^Aler^185.37^79.72^32
Juan Uribe^CWS^Ala-pivot^190.75^75.41^28
Alex Cintron^CWS^Ala-pivot^198.81^85.75^28
Joe Crede^CWS^Aler^196.11^86.18^29
Josh Fields^CWS^Aler^196.11^92.65^24
Ryan Sweeney^CWS^Escorta^204.17^86.18^22
Brian N. Anderson^CWS^Escorta^198.81^88.34^25
Luis Terrero^CWS^Escorta^198.81^88.77^27
Pablo Ozuna^CWS^Escorta^188.06^80.15^33
Scott Podsednik^CWS^Escorta^193.42^81.01^31
Jermaine Dye^CWS^Escorta^206.86^94.8^33
Darin Erstad^CWS^Escorta^198.81^90.49^33
Rob Mackowiak^CWS^Escorta^188.06^84.03^31
Jim Thome^CWS^Aler^204.17^105.14^37
Jerry Owens^CWS^Aler^201.5^84.03^26
