"id","codi_estacio","codi_variable","data_lectura","data_extrem","valor_lectura","codi_estat","codi_base"
"X4320101090000","X4","32","2009-01-01T00:00:00.000",,"11.9","V","HO"
"X4330101090000","X4","33","2009-01-01T00:00:00.000",,"74","V","HO"
"X4340101090000","X4","34","2009-01-01T00:00:00.000",,"1017","V","HO"
"X4350101090000","X4","35","2009-01-01T00:00:00.000",,"0","V","HO"
"X4360101090000","X4","36","2009-01-01T00:00:00.000",,"0","V","HO"
"X4010101090000","X4","1","2009-01-01T00:00:00.000","2009-01-01T00:00:00.000","1017","V","HO"
"X4420101090000","X4","42","2009-01-01T00:00:00.000","2009-01-01T00:21:00.000","11.8","V","HO"
"X4440101090000","X4","44","2009-01-01T00:00:00.000","2009-01-01T00:57:00.000","72","V","HO"
"X4500101090000","X4","50","2009-01-01T00:00:00.000","2009-01-01T00:58:00.000","2.4","V","HO"
"X4510101090000","X4","51","2009-01-01T00:00:00.000",,"331","V","HO"
"X4400101090000","X4","40","2009-01-01T00:00:00.000","2009-01-01T00:00:00.000","12","V","HO"
"X4320101090100","X4","32","2009-01-01T01:00:00.000",,"11.8","V","HO"
"X4330101090100","X4","33","2009-01-01T01:00:00.000",,"72","V","HO"
"X4340101090100","X4","34","2009-01-01T01:00:00.000",,"1016","V","HO"
"X4350101090100","X4","35","2009-01-01T01:00:00.000",,"0","V","HO"
"X4510101090100","X4","51","2009-01-01T01:00:00.000",,"319","V","HO"
"X4400101090100","X4","40","2009-01-01T01:00:00.000","2009-01-01T01:00:00.000","11.9","V","HO"
"X4420101090100","X4","42","2009-01-01T01:00:00.000","2009-01-01T01:57:00.000","11.7","V","HO"
"X4440101090100","X4","44","2009-01-01T01:00:00.000","2009-01-01T01:15:00.000","69","V","HO"
"X4500101090100","X4","50","2009-01-01T01:00:00.000","2009-01-01T01:01:00.000","3.2","V","HO"
"X4360101090100","X4","36","2009-01-01T01:00:00.000",,"0","V","HO"
"X4320101090200","X4","32","2009-01-01T02:00:00.000",,"11.5","V","HO"
"X4330101090200","X4","33","2009-01-01T02:00:00.000",,"75","V","HO"
"X4340101090200","X4","34","2009-01-01T02:00:00.000",,"1016","V","HO"
"X4350101090200","X4","35","2009-01-01T02:00:00.000",,"0","V","HO"
"X4510101090200","X4","51","2009-01-01T02:00:00.000",,"264","V","HO"
"X4400101090200","X4","40","2009-01-01T02:00:00.000","2009-01-01T02:00:00.000","11.7","V","HO"
"X4420101090200","X4","42","2009-01-01T02:00:00.000","2009-01-01T02:44:00.000","11.3","V","HO"
"X4440101090200","X4","44","2009-01-01T02:00:00.000","2009-01-01T02:03:00.000","73","V","HO"
"X4500101090200","X4","50","2009-01-01T02:00:00.000","2009-01-01T02:00:00.000","2","V","HO"
"X4360101090200","X4","36","2009-01-01T02:00:00.000",,"0","V","HO"
"X4320101090300","X4","32","2009-01-01T03:00:00.000",,"11.3","V","HO"
"X4330101090300","X4","33","2009-01-01T03:00:00.000",,"74","V","HO"
"X4340101090300","X4","34","2009-01-01T03:00:00.000",,"1016","V","HO"
"X4350101090300","X4","35","2009-01-01T03:00:00.000",,"0","V","HO"
"X4510101090300","X4","51","2009-01-01T03:00:00.000",,"261","V","HO"
"X4400101090300","X4","40","2009-01-01T03:00:00.000","2009-01-01T03:12:00.000","11.5","V","HO"
"X4420101090300","X4","42","2009-01-01T03:00:00.000","2009-01-01T03:58:00.000","11.2","V","HO"
"X4440101090300","X4","44","2009-01-01T03:00:00.000","2009-01-01T03:52:00.000","72","V","HO"
"X4500101090300","X4","50","2009-01-01T03:00:00.000","2009-01-01T03:50:00.000","2.2","V","HO"
"X4360101090300","X4","36","2009-01-01T03:00:00.000",,"0","V","HO"
"X4320101090400","X4","32","2009-01-01T04:00:00.000",,"11.1","V","HO"
"X4330101090400","X4","33","2009-01-01T04:00:00.000",,"73","V","HO"
"X4340101090400","X4","34","2009-01-01T04:00:00.000",,"1015","V","HO"
"X4510101090400","X4","51","2009-01-01T04:00:00.000",,"214","V","HO"
"X4350101090400","X4","35","2009-01-01T04:00:00.000",,"0","V","HO"
"X4440101090400","X4","44","2009-01-01T04:00:00.000","2009-01-01T04:00:00.000","73","V","HO"
"X4420101090400","X4","42","2009-01-01T04:00:00.000","2009-01-01T04:58:00.000","11","V","HO"
"X4400101090400","X4","40","2009-01-01T04:00:00.000","2009-01-01T04:00:00.000","11.2","V","HO"
"X4360101090400","X4","36","2009-01-01T04:00:00.000",,"0","V","HO"
"X4500101090400","X4","50","2009-01-01T04:00:00.000","2009-01-01T04:28:00.000","1.4","V","HO"
"X4440101090500","X4","44","2009-01-01T05:00:00.000","2009-01-01T05:00:00.000","74","V","HO"
